Date,Open,High,Low,Close,Adj Close,Volume
2019-10-29,6875.000000,6975.000000,6875.000000,6975.000000,5211.677734,32681600
2019-10-30,7000.000000,7000.000000,6875.000000,6950.000000,5192.997559,22319800
2019-10-31,6950.000000,6975.000000,6825.000000,6950.000000,5192.997559,26502100
2019-11-01,6975.000000,6975.000000,6725.000000,6800.000000,5080.917969,17213000
2019-11-04,6800.000000,6825.000000,6700.000000,6700.000000,5006.198730,19339100
2019-11-05,6775.000000,6950.000000,6750.000000,6900.000000,5155.637207,42041800
2019-11-06,6975.000000,6975.000000,6825.000000,6850.000000,5118.277832,29565500
2019-11-07,6925.000000,6925.000000,6650.000000,6725.000000,5024.878906,29891900
2019-11-08,6700.000000,6700.000000,6550.000000,6625.000000,4950.160156,34878600
2019-11-11,6650.000000,6650.000000,6550.000000,6650.000000,4968.839844,19373700
2019-11-12,6650.000000,6800.000000,6550.000000,6775.000000,5062.239258,29633100
2019-11-13,6775.000000,6775.000000,6675.000000,6725.000000,5024.878906,20566300
2019-11-14,6675.000000,6700.000000,6550.000000,6575.000000,4912.799805,18695900
2019-11-15,6650.000000,6650.000000,6475.000000,6525.000000,4875.440918,30343300
2019-11-18,6525.000000,6600.000000,6525.000000,6600.000000,4931.479980,27729100
2019-11-19,6650.000000,6700.000000,6575.000000,6650.000000,4968.839844,18139800
2019-11-20,6600.000000,6675.000000,6550.000000,6625.000000,4950.160156,24083000
2019-11-21,6550.000000,6650.000000,6525.000000,6600.000000,4931.479980,19675100
2019-11-22,6600.000000,6650.000000,6575.000000,6625.000000,4950.160156,23600000
2019-11-25,6600.000000,6600.000000,6475.000000,6500.000000,4856.759766,24848800
2019-11-26,6575.000000,6575.000000,6350.000000,6350.000000,4744.680664,79166300
2019-11-27,6400.000000,6475.000000,6350.000000,6425.000000,4800.720703,37566700
2019-11-28,6425.000000,6425.000000,6350.000000,6400.000000,4782.041016,17353400
2019-11-29,6400.000000,6575.000000,6375.000000,6500.000000,4856.759766,33440400
2019-12-02,6500.000000,6650.000000,6500.000000,6650.000000,4968.839844,22114700
2019-12-03,6650.000000,6675.000000,6525.000000,6525.000000,4875.440918,15510600
2019-12-04,6500.000000,6575.000000,6475.000000,6550.000000,4894.120605,16154100
2019-12-05,6600.000000,6700.000000,6550.000000,6700.000000,5006.198730,26468200
2019-12-06,6675.000000,6775.000000,6625.000000,6775.000000,5062.239258,27395100
2019-12-09,6775.000000,6775.000000,6625.000000,6675.000000,4987.520020,16336900
2019-12-10,6625.000000,6750.000000,6625.000000,6650.000000,4968.839844,19229100
2019-12-11,6675.000000,6675.000000,6550.000000,6550.000000,4894.120605,22787600
2019-12-12,6575.000000,6600.000000,6550.000000,6550.000000,4894.120605,16626700
2019-12-13,6700.000000,6900.000000,6700.000000,6850.000000,5118.277832,66943600
2019-12-16,6900.000000,7025.000000,6875.000000,6975.000000,5211.677734,43517600
2019-12-17,6975.000000,7000.000000,6875.000000,6950.000000,5192.997559,29835500
2019-12-18,6875.000000,6925.000000,6750.000000,6900.000000,5155.637207,31614900
2019-12-19,6875.000000,6900.000000,6775.000000,6850.000000,5118.277832,17259400
2019-12-20,6850.000000,6925.000000,6750.000000,6925.000000,5174.317871,38886700
2019-12-23,7000.000000,7000.000000,6775.000000,6900.000000,5155.637207,23654800
2019-12-26,6800.000000,6950.000000,6800.000000,6875.000000,5136.958008,18685200
2019-12-27,6925.000000,6925.000000,6850.000000,6925.000000,5174.317871,13714400
2019-12-30,6925.000000,6950.000000,6850.000000,6925.000000,5174.317871,25494000
2020-01-02,6925.000000,6925.000000,6775.000000,6875.000000,5136.958008,15008600
2020-01-03,6925.000000,6950.000000,6825.000000,6950.000000,5192.997559,19068800
2020-01-06,6900.000000,6900.000000,6750.000000,6750.000000,5043.559082,22261900
